"Requirement ID","Requirement Name","Source","Design Coverage","API/Data Coverage","Development Tasks","Test Coverage","Status","Notes"
"US-001","最简约登录页面","PRD","视觉交互设计; 信息架构; 详细设计","/api/v1/auth/login; users","T1.5; T2.2; T2.3; T2.4; T6.1; T6.2","AUTH-001; AUTH-002; AUTH-003; AUTH-004; VIS-001; VIS-002; VIS-003; VIS-004","Covered","登录页主视觉和反转动画纳入一期"
"US-002","邀请码注册","PRD","接口设计; 数据模型; 详细设计","/api/v1/auth/register-with-invite; invite_codes; invite_code_usages","T1.6; T3.3","AUTH-005; AUTH-006; AUTH-007","Covered","注册成功后是否自动登录待 UI 阶段确认"
"US-003","主页与角色感知导航","PRD","信息架构; 权限矩阵; 视觉交互设计","/api/v1/auth/me; users.role","T2.1; T2.5","HOME-001; HOME-002; HOME-003; HOME-004; PERM-001; PERM-002","Covered","访客看到邀请模块锁定状态"
"US-004","管理员内容管理","PRD","权限矩阵; 接口设计; 数据模型; 详细设计","/api/v1/admin/contents; content_items; content_attachments","T3.5; T3.6; T3.7; T3.8; T3.10","ADMIN-004; ADMIN-005; ADMIN-006","Covered","管理员是唯一内容管理者"
"US-005","脚本分享页面","PRD","权限矩阵; 信息架构; 接口设计","/api/v1/scripts; content_items.type=script","T2.7; T3.5","SCRIPT-001; SCRIPT-002; SCRIPT-003; SCRIPT-004; SCRIPT-005","Covered","脚本只提供代码文本，允许复制，不提供文件下载"
"US-006","个人作品分享页面","PRD","权限矩阵; 信息架构; 接口设计; 数据模型","/api/v1/works; content_items.type=work; content_attachments","T2.8; T3.6; T3.7","WORKS-001; WORKS-002; WORKS-003; WORKS-004; WORKS-005","Covered","压缩包下载由管理员按作品配置"
"US-007","个人经验心得分享","PRD","权限矩阵; 信息架构; 接口设计","/api/v1/blogs; content_items.type=blog","T2.9; T3.8","BLOG-001; BLOG-002; BLOG-003","Covered","所有邀请用户可查看已发布博客"
"US-008","随记 / 留言板","PRD","权限矩阵; 接口设计; 数据模型; 详细设计","/api/v1/messages; messages","T2.10; T2.11; T3.9","MSG-001; MSG-002; MSG-003; MSG-004; MSG-005","Covered","留言立即公开，管理员可隐藏或删除"
"US-009","工作站与服务权限","PRD","权限矩阵; 信息架构; 概要设计; 详细设计","/api/v1/workstation/services; workstation_services","T4.1; T4.2","STATION-001; STATION-002","Covered","已调整为服务集合，首版所有邀请用户可见全部服务"
"US-010","日志自动提交服务接口预留","PRD","服务记录设计; 接口设计; 详细设计","/api/v1/workstation/services/{service_id}/requests; service_requests","T4.3; T4.4; T4.5; T4.6; T4.9; T4.10","STATION-003; STATION-004; REC-003","Covered","首版用模拟脚本验证异步流程"
"US-011","日志自动提交隐私与追溯","PRD","权限矩阵; 服务记录设计; 数据模型; 详细设计","service_requests; service_execution_logs; service_audits; audit_logs","T4.7; T4.8; T4.11; T4.12; T4.13","PRIV-001 to PRIV-010; RECORD-001 to RECORD-004; ADMIN-008; ADMIN-009; ADMIN-010","Covered","密码不保存；账号只存掩码和不可逆哈希；完整日志仅管理员看脱敏版"
"US-012","公开大屏看板","PRD","信息架构; 视觉交互设计; 接口设计; 数据模型","/api/v1/dashboard/metrics; daily_metric_snapshots; visit_events","T5.1; T5.2; T5.3; T5.5; T5.6; T5.7","DASH-001; DASH-002; DASH-003; PERF-003","Covered","只展示公开聚合数据"
"US-013","日度统计记录文档","PRD","接口设计; 数据模型; 详细设计; 运维手册","/api/v1/admin/exports/dashboard-snapshots.csv; export_jobs","T5.4; T5.8; T5.10","EXPORT-001; DASH-004","Covered","首版导出 CSV，PDF / Markdown 后续可扩展"
"FR-1 to FR-7","认证与邀请码","PRD Functional Requirements","接口设计; 数据模型; 详细设计","auth APIs; users; invite_codes; invite_code_usages","Week 1","AUTH-001 to AUTH-008","Covered","站点密码只保存哈希"
"FR-8 to FR-13","角色权限","PRD Functional Requirements","权限矩阵; 详细设计; 测试计划","users.role; session","Week 1; Week 6","PERM-001 to PERM-005; API-003; API-004","Covered","前端控制显示，后端强制校验"
"FR-14 to FR-17","主页","PRD Functional Requirements","信息架构; 视觉交互设计","auth/me; route permissions","Week 2","HOME-001 to HOME-004","Covered","主页公开，邀请模块锁定"
"FR-18 to FR-23","后台管理","PRD Functional Requirements","信息架构; 接口设计; 详细设计","admin APIs; content_items; messages; users; invite_codes","Week 3","ADMIN-001 to ADMIN-011","Covered","仅管理员"
"FR-24 to FR-27","脚本分享","PRD Functional Requirements","权限矩阵; 接口设计; 数据模型","scripts APIs; content_items","Week 2; Week 3","SCRIPT-001 to SCRIPT-005","Covered","无文件下载"
"FR-28 to FR-31","个人作品","PRD Functional Requirements","权限矩阵; 接口设计; 数据模型","works APIs; content_attachments","Week 2; Week 3","WORKS-001 to WORKS-005","Covered","附件下载按 allow_download 控制"
"FR-32 to FR-34","博客","PRD Functional Requirements","信息架构; 接口设计; 数据模型","blogs APIs; content_items","Week 2; Week 3","BLOG-001 to BLOG-003","Covered","邀请用户可看已发布博客"
"FR-35 to FR-39","留言板","PRD Functional Requirements","权限矩阵; 接口设计; 详细设计","messages APIs; messages","Week 2; Week 3","MSG-001 to MSG-005","Covered","立即公开，需防刷"
"FR-40 to FR-45","工作站服务","PRD Functional Requirements","概要设计; 详细设计; 接口设计","workstation_services; service_requests","Week 4","STATION-001; STATION-002; RECORD-001 to RECORD-004","Covered","工作站是服务集合"
"FR-46 to FR-53","日志自动提交","PRD Functional Requirements","服务记录设计; 详细设计; 数据模型","service_requests; service_execution_logs; service_audits","Week 4","STATION-003 to STATION-011; PRIV-001 to PRIV-010","Covered","模拟脚本先行，真实脚本后置"
"FR-54 to FR-64","大屏看板","PRD Functional Requirements","信息架构; 视觉交互; 接口设计","dashboard metrics API; daily_metric_snapshots; visit_events","Week 5","DASH-001 to DASH-003","Covered","公开聚合指标"
"FR-65 to FR-68","日度统计记录","PRD Functional Requirements","接口设计; 详细设计; 运维手册","dashboard export API; export_jobs","Week 5","EXPORT-001; DASH-004","Covered","首版 CSV 导出"
